название,url
Data analyst,https://belgorod.hh.ru/vacancy/33739752?query=python
Data analyst,https://belgorod.hh.ru/vacancy/33739750?query=python
Разработчик на С++/Python,https://belgorod.hh.ru/vacancy/34126754?query=python
DevOps specialist,https://belgorod.hh.ru/vacancy/34285097?query=python
Специалист по интернет-продвижению и веб-аналитике,https://belgorod.hh.ru/vacancy/34093764?query=python
Senior CV Engineer,https://belgorod.hh.ru/vacancy/33404498?query=python
Старший системный администратор (Zabbix),https://belgorod.hh.ru/vacancy/34015068?query=python
Младший программист 1С,https://belgorod.hh.ru/vacancy/33938616?query=python
Ведущий Инженер по планированию и оптимизации мобильной сети,https://belgorod.hh.ru/vacancy/33908221?query=python
Java-разработчик (Телеком),https://belgorod.hh.ru/vacancy/33896231?query=python
