Название вакансии,URL,Название компании,Описание
Инженер-программист ( front-end developer ) junior/middle,https://hh.ru/vacancy/32697772?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Взаимодействовать с дизайнерами, программистами и UX-аналитиками в целях создания удобного и востребованного продукта. Стек технологий: JavaScript, Bootstrap4, Python... Релевантный опыт front-end разработки от 1-ого года. Опыт веб-ориентированной графической визуализации данных (графики, таблицы, диаграммы, карты-схемы)."
Аналитик-программист,https://hh.ru/vacancy/32967257?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Армтек,Разработка программного обеспечения для аналитики и автоматизации бизнес процессов компании. Разработка интерфейсов пользователей программно-аналитического комплекса. Навыки программирования. Навыки работы с базами данных на SQL. Владение навыками статистической обработки данных.
Аналитик данных / Data Scientist,https://hh.ru/vacancy/32377243?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Открытые Технологии,Анализ существующих бизнес и технологических процессов Заказчика. Формирование требований и моделирование процессов. Разработка предложений и рекомендаций по оптимизации процессов. Завершение курсов по ML/DS или профильное образование. Наличие опыта работы программистом или системным администратором/тестировщиком ПО (2-3 года).
Аналитик данных/Разработчик DWH,https://hh.ru/vacancy/33638996?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, MedPoint24,"Построение и развитие системы регулярной отчетности компании. Разработка механизмов ETL для OLTP систем и управление процессами первоначальной синхронизации данных. SQL, REST, PostgreSQL, желателен python. Опыт проектирования DWH. Участие в запуске и знание хотя бы одной BI. Английский технический – для..."
Data Scientist / Quant / Business Intelligence Analyst,https://hh.ru/vacancy/33879836?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Zamwell Asset Management,"Работа в команде c финансовыми аналитиками и программистами. Проверка гипотез экономического и финансового характера. Подготовка исследований для публикаций в СМИ. Математическое, экономическое или финансовое образование из ведущего ВУЗА (МГУ, ВШЭ, РЭШ, Бауман и т.д.). Python, SQL, Excel, Tableau."
Java разработчик в отдел аналитики платёжной системы,https://hh.ru/vacancy/33965852?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Anchous Drive Recruitment,"3. Технический скайп-разговор с разработчиком — 30-60 мин →. 4. Личная встреча с руководителем отдела аналитики + СТО (опционально) — 60... Проактивный человек, у которого всегда есть что предложить и понимание как поступить. Заинтересован передавать знания, коллаборативный и командный."
Программист Python,https://hh.ru/vacancy/34247032?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Дефенс Групп,"Написание парсеров данных из открытых источников. Изучение ограничений систем на сбор данных. Разработка распределенной системы сбора информации. Разработка систем автоматической... Опыт парсинга контента из сторонних ресурсов, знакомство с инструментами для этого: requests, lxml, scrapy. Образование в сфере информационной безопасности."
Аналитик-разработчик BI систем,https://hh.ru/vacancy/34000903?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, IVIDEON,"Оптимизация текущей архитектуры системы аналитики. Разработка и оптимизация ETL-приложений - импорт, преобразование и загрузка данных в систему аналитики. ...внутренних системы отчетности в роли аналитика-разработчика. Панель аналитики c dashboard'ами и отчетами: Python (Flask) + Javacript + Highcharts..."
Python Data Scientist,https://hh.ru/vacancy/33840192?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Web Interactive World,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение... Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и ML-стеком (statsmodels, sklearn..."
Python backend developer,https://hh.ru/vacancy/34303246?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Movejob,Настройка окружения для разработки. Участие в разработке веб-приложения для агрегации данных из социальных сетей. Курирование работы frontend разработчика. Знания Python. Опыт работы с СУБД. Опыт разработки архитектуры. Верстка в общих чертах.
